# OPS-87 criterion 1 - the refutation census.
# One row per refutation EVENT recorded in docs/LEDGER.md, over the entries the
# five extraction slices read. Columns, tab separated:
#   entry_id  bucket  inherited  fixfix  uncertain  quote  reason
# The quote is a VERBATIM substring of docs/LEDGER.md and is the row's anchor:
# ops/refutation_census.py re-resolves every one at run time, so a row cannot
# outlive the sentence it classifies. Every total is recomputed from these rows
# and none is stored anywhere.
#
# The #examined lines below declare WHICH entries were read, derived from the
# line ranges the slices were given rather than from the date window, so the
# coverage check compares two independent derivations. An entry that produced no
# event is a result; an entry nobody opened is not, and without this declaration
# the two are indistinguishable. The first pass here covered 53 of 64 and said
# nothing about it.
#examined LL-0236 LL-0235 LL-0234 LL-0233 LL-0232 LL-0231 LL-0230 LL-0229
#examined LL-0228 LL-0227 LL-0226 LL-0225 LL-0224 LL-0223 LL-0222 LL-0221
#examined LL-0220 LL-0219 LL-0218 LL-0217 LL-0216 LL-0215 LL-0214 LL-0213
#examined LL-0212 LL-0211 LL-0210 LL-0209 LL-0208 LL-0207 LL-0206 LL-0205
#examined LL-0204 LL-0203 LL-0202 LL-0201 LL-0200 LL-0199 LL-0198 LL-0197
#examined LL-0196 LL-0195 LL-0194 LL-0193 LL-0192 LL-0191 LL-0190 LL-0189
#examined LL-0188 LL-0187 LL-0186 LL-0185 LL-0184 LL-0183 LL-0182 LL-0181
#examined LL-0180 LL-0179 LL-0178 LL-0177 LL-0176 LL-0175 LL-0174 LL-0173

LL-0236	e	N	N	N	THE SIBLING QUESTION INVENTED A FINDING IN ITS FIRST VERSION, found by an independent refutation pass.	sibling check falsely flagged a finding before being scoped correctly
LL-0236	b	N	N	N	a new tracked test module must also appear in `docs/INVENTORY.md`'s test table and in a lane's `owns`	new module's own green missed inventory and lane registration
LL-0236	b	N	N	Y	docs/INVENTORY.md` naming `core.excludesFile` tripped `tests/test_source_register.py`, which reads a git CONFIG KEY as a host	doc prose named an unregistered host, needing registration
LL-0236	a	N	N	N	the refutation found a second, undisclosed and load-bearing one - `_clean_env` losing its `env.pop` for git's exported hook environment	mutation guard missed a real leak in throwaway-repo env cleanup
LL-0235	c	Y	N	N	THE ITEM'S OWN UTILITY LIST WAS WRONG TWICE.	filed OPS-78/83 utility list miscounted mv and find
LL-0235	c	Y	N	N	`sh` IS THE GATE, refuting the filed reconstruction.	filed reconstruction of which tool gated tests was wrong
LL-0235	a	N	N	N	the drift matcher's unstated blind spots after `elif`, `while`, `until` and the command wrappers `env`, `time`, `xargs`, `command`	refutation pass found real matcher blind spots
LL-0235	a	N	N	N	`_under_system_root` reading extended-length and UNC path forms as PRESENT	refutation pass found a real path-normalisation defect
LL-0235	a	N	N	N	An arm claiming comment lines are not scanned SURVIVED its own mutation	test arm was vacuous/decorative, not a real check
LL-0235	a	N	N	N	a mutation harness reported a false SURVIVED because two mutants of equal byte length written in the same second	pyc caching made mutation harness misreport a survivor
